RecipeID,RecipeMasterID,MaterialMasterID,BomAlternative,ProdIssue,ProdSpecific1,ProdSpecific2,ProdSpecific3,RecipeEdition,RecipeDescription,RecipeStatus,RecipeTypeID,RecipeTypeGlobalName,RecipeTypeLocalName,ProcessTypeID,ProcessTypeName,ParameterID,ParameterName,ParameterType,ParameterGlobalName,ParameterLocalName,ParameterUnitSymbol,ParameterValue,Workcenter,TechOffsetValue,TechOffsetComments,TechOffsetUTCDate,TechOffsetLocalDate,TechOffsetHistoryValueFrom,TechOffsetHistoryValueTo,TechOffsetHistoryComments,TechOffsetHistoryUTCDate,TechOffsetHistoryLocalDate,UserName
144339,144339,9.92671E+11,C1,100,992670596700,0345643000,WIP,1,215/55 R18 (1+3/4),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190318,TB1_PL1_DistanceServicerToDrum,Number,Lay-on position,安装位置_PLY1,mm,135,TB175,-15,,2026/8/6 16:10,2026/8/7 0:10,0,-15,,2026/8/6 16:10,2026/8/7 0:10,CGMS_uih69094
144339,144339,9.92671E+11,C1,100,992670596700,0345643000,WIP,1,215/55 R18 (1+3/4),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190323,TB1_SW_DistanceServicerToDrum,Number,Lay-on position,安装位置_SW,mm,85,TB175,10,,2026/8/6 16:10,2026/8/7 0:10,0,10,,2026/8/6 16:10,2026/8/7 0:10,CGMS_uih69094
144339,144339,9.92671E+11,C1,100,992670596700,0345643000,WIP,1,215/55 R18 (1+3/4),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190316,TB1_IL_DistanceServicerToDrum,Number,Lay-on position,安装位置_IL,mm,135,TB175,-10,,2026/8/6 16:10,2026/8/7 0:10,0,-10,,2026/8/6 16:10,2026/8/7 0:10,CGMS_uih69094
144339,144339,9.92671E+11,C1,100,892671414300,0345643000,WIP,1,215/55 R18 (1+3/4),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190003,TB1_IL_Friction,Number,Lay-on friction IL,IL 安装摩擦,%,100,TB175,-1,,2026/8/6 16:10,2026/8/7 0:10,0,-1,,2026/8/6 16:10,2026/8/7 0:10,CGMS_uih69094
144339,144339,9.92671E+11,C1,100,992670596700,0345643000,WIP,1,215/55 R18 (1+3/4),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190066,TB1_PL1_Friction,Number,Lay-on friction PLY 1,PLY 1 安装摩擦,%,99,TB175,-1,,2026/8/6 16:10,2026/8/7 0:10,0,-1,,2026/8/6 16:10,2026/8/7 0:10,CGMS_uih69094
144339,144339,9.92671E+11,C1,100,992670596700,0345643000,WIP,1,215/55 R18 (1+3/4),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190338,TB1_IL_SpeedLayonDrum,Number,Lay-on speed IL,IL 安装速度,m/min,100,TB175,-35,,2026/8/7 7:00,2026/8/7 15:00,0,-20,,2026/8/6 16:10,2026/8/7 0:10,CGMS_uih69094
144339,144339,9.92671E+11,C1,100,992670596700,0345643000,WIP,1,215/55 R18 (1+3/4),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190349,TB1_PL1_SpeedLayonDrum,Number,Lay-on speed PLY 1,PLY 1 安装速度,m/min,110,TB175,-20,,2026/8/6 16:10,2026/8/7 0:10,0,-20,,2026/8/6 16:10,2026/8/7 0:10,CGMS_uih69094
145008,145008,9.92671E+11,C1,100,992670596700,0316213000,RE,1,215/50 R18 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190066,TB1_PL1_Friction,Number,Lay-on friction PLY 1,PLY 1 安装摩擦,%,99,TB123,-1,,2026/8/6 16:09,2026/8/7 0:09,0,-1,,2026/8/6 16:09,2026/8/7 0:09,CGMS_uih68874
169210,169210,9.92671E+11,C1,100,892671414300,0315085000,RE,1,235/60 R18 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190318,TB1_PL1_DistanceServicerToDrum,Number,Lay-on position,安装位置_PLY1,mm,135,TB175,-15,,2026/8/6 16:08,2026/8/7 0:08,0,-15,,2026/8/6 16:08,2026/8/7 0:08,CGMS_uih69094
169210,169210,9.92671E+11,C1,100,992670596700,0315085000,RE,1,235/60 R18 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190316,TB1_IL_DistanceServicerToDrum,Number,Lay-on position,安装位置_IL,mm,135,TB175,-10,,2026/8/6 16:08,2026/8/7 0:08,0,-10,,2026/8/6 16:08,2026/8/7 0:08,CGMS_uih69094
169210,169210,9.92671E+11,C1,100,992670596700,0315085000,RE,1,235/60 R18 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190323,TB1_SW_DistanceServicerToDrum,Number,Lay-on position,安装位置_SW,mm,85,TB175,10,,2026/8/6 16:08,2026/8/7 0:08,0,10,,2026/8/6 16:08,2026/8/7 0:08,CGMS_uih69094
169210,169210,9.92671E+11,C1,100,992670596700,0315085000,RE,1,235/60 R18 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190003,TB1_IL_Friction,Number,Lay-on friction IL,IL 安装摩擦,%,100,TB175,-1,,2026/8/6 16:08,2026/8/7 0:08,0,-1,,2026/8/6 16:08,2026/8/7 0:08,CGMS_uih69094
169210,169210,9.92671E+11,C1,100,992670596700,0315085000,RE,1,235/60 R18 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190066,TB1_PL1_Friction,Number,Lay-on friction PLY 1,PLY 1 安装摩擦,%,99,TB175,-1,,2026/8/6 16:08,2026/8/7 0:08,0,-1,,2026/8/6 16:08,2026/8/7 0:08,CGMS_uih69094
